period,country,year,month,demonstrations_events,civilian_targeting_events,civilian_targeting_fatalities,political_violence_events,political_violence_fatalities,total_events,total_fatalities
2006-01,Kenya,2006,1,0,3,2,7,37,10,39
2006-02,Kenya,2006,2,2,3,6,4,6,9,12
2006-03,Kenya,2006,3,6,4,5,7,11,17,16
2006-04,Kenya,2006,4,1,8,10,10,10,19,20
2006-05,Kenya,2006,5,0,7,10,9,20,16,30
2006-06,Kenya,2006,6,2,4,12,6,26,12,38
2006-07,Kenya,2006,7,9,7,8,12,28,28,36
2006-08,Kenya,2006,8,8,7,14,11,38,26,52
2006-09,Kenya,2006,9,2,8,13,9,13,19,26
2006-10,Kenya,2006,10,6,2,2,4,19,12,21
2006-11,Kenya,2006,11,0,4,8,12,16,16,24
2006-12,Kenya,2006,12,8,5,30,6,32,19,62
2007-01,Kenya,2007,1,12,3,7,14,37,29,44
2007-02,Kenya,2007,2,2,2,2,4,5,8,7
2007-03,Kenya,2007,3,3,5,7,5,7,13,14
2007-04,Kenya,2007,4,1,11,39,15,43,27,82
2007-05,Kenya,2007,5,4,11,42,25,150,40,192
2007-06,Kenya,2007,6,3,14,43,35,123,52,166
2007-07,Kenya,2007,7,2,9,33,22,83,33,116
2007-08,Kenya,2007,8,3,14,26,19,50,36,76
2007-09,Kenya,2007,9,9,3,0,7,14,19,14
2007-10,Kenya,2007,10,0,3,1,4,3,7,4
2007-11,Kenya,2007,11,5,20,15,37,21,62,36
2007-12,Kenya,2007,12,107,49,99,83,168,239,267
2008-01,Kenya,2008,1,100,91,302,161,539,352,841
2008-02,Kenya,2008,2,2,5,16,7,28,14,44
2008-03,Kenya,2008,3,29,24,109,30,146,83,255
2008-04,Kenya,2008,4,7,7,10,10,28,24,38
2008-05,Kenya,2008,5,3,6,10,9,25,18,35
2008-06,Kenya,2008,6,0,3,0,6,6,9,6
2008-07,Kenya,2008,7,10,2,7,4,92,16,99
2008-08,Kenya,2008,8,22,5,129,10,156,37,285
2008-09,Kenya,2008,9,1,6,24,10,41,17,65
2008-10,Kenya,2008,10,0,2,0,7,21,9,21
2008-11,Kenya,2008,11,1,8,7,10,10,19,17
2008-12,Kenya,2008,12,2,5,3,7,5,14,8
2009-01,Kenya,2009,1,10,5,12,8,31,23,43
2009-02,Kenya,2009,2,3,2,5,2,5,7,10
2009-03,Kenya,2009,3,5,2,3,2,3,9,6
2009-04,Kenya,2009,4,3,2,0,7,29,12,29
2009-05,Kenya,2009,5,6,1,2,3,4,10,6
2009-06,Kenya,2009,6,0,3,5,6,5,9,10
2009-07,Kenya,2009,7,0,5,3,9,4,14,7
2009-08,Kenya,2009,8,1,7,31,11,52,19,83
2009-09,Kenya,2009,9,2,5,0,8,0,15,0
2009-10,Kenya,2009,10,4,5,2,18,40,27,42
2009-11,Kenya,2009,11,2,3,1,10,2,15,3
2009-12,Kenya,2009,12,4,7,0,12,5,23,5
2010-01,Kenya,2010,1,6,7,12,12,20,25,32
2010-02,Kenya,2010,2,4,4,0,8,5,16,5
2010-03,Kenya,2010,3,4,2,3,3,10,9,13
2010-04,Kenya,2010,4,0,2,2,3,2,5,4
2010-05,Kenya,2010,5,1,3,2,5,4,9,6
2010-06,Kenya,2010,6,7,7,11,10,19,24,30
2010-07,Kenya,2010,7,4,4,5,6,10,14,15
2010-08,Kenya,2010,8,5,3,9,4,10,12,19
2010-09,Kenya,2010,9,10,5,4,5,4,20,8
2010-10,Kenya,2010,10,3,5,0,9,34,17,34
2010-11,Kenya,2010,11,6,3,16,12,23,21,39
2010-12,Kenya,2010,12,5,14,20,22,69,41,89
2011-01,Kenya,2011,1,6,10,8,15,17,31,25
2011-02,Kenya,2011,2,10,13,6,18,10,41,16
2011-03,Kenya,2011,3,6,5,1,11,15,22,16
2011-04,Kenya,2011,4,7,2,4,3,4,12,8
2011-05,Kenya,2011,5,3,9,63,10,65,22,128
2011-06,Kenya,2011,6,1,8,25,13,37,22,62
2011-07,Kenya,2011,7,2,0,0,2,4,4,4
2011-08,Kenya,2011,8,0,1,1,1,1,2,2
2011-09,Kenya,2011,9,1,1,1,1,1,3,2
2011-10,Kenya,2011,10,1,5,6,10,13,16,19
2011-11,Kenya,2011,11,0,6,17,13,36,19,53
2011-12,Kenya,2011,12,1,2,1,8,5,11,6
2012-01,Kenya,2012,1,0,7,9,18,34,25,43
2012-02,Kenya,2012,2,5,8,9,28,19,41,28
2012-03,Kenya,2012,3,10,10,23,13,27,33,50
2012-04,Kenya,2012,4,4,6,3,7,5,17,8
2012-05,Kenya,2012,5,4,10,11,13,11,27,22
2012-06,Kenya,2012,6,13,16,7,22,10,51,17
2012-07,Kenya,2012,7,6,16,25,20,33,42,58
2012-08,Kenya,2012,8,16,15,80,21,88,52,168
2012-09,Kenya,2012,9,4,18,58,26,76,48,134
2012-10,Kenya,2012,10,15,19,24,29,39,63,63
2012-11,Kenya,2012,11,11,13,19,25,83,49,102
2012-12,Kenya,2012,12,17,21,74,27,80,65,154
2013-01,Kenya,2013,1,61,37,38,46,57,144,95
2013-02,Kenya,2013,2,23,27,32,38,43,88,75
2013-03,Kenya,2013,3,35,35,24,50,62,120,86
2013-04,Kenya,2013,4,27,31,42,36,46,94,88
2013-05,Kenya,2013,5,9,25,40,35,63,69,103
2013-06,Kenya,2013,6,9,19,51,26,63,54,114
2013-07,Kenya,2013,7,20,7,18,9,25,36,43
2013-08,Kenya,2013,8,15,15,38,32,85,62,123
2013-09,Kenya,2013,9,15,20,90,34,114,69,204
2013-10,Kenya,2013,10,25,14,15,19,19,58,34
